source,target,weight
37,152,0.7218399557666786
37,153,0.5713054345125917
37,172,0.7249979602003058
37,181,0.6206634633010621
37,199,0.7018288203644035
37,211,0.7090294298822317
37,231,0.6174597096697457
37,253,0.7010940148075208
38,30,0.39245096200501217
38,35,0.49751448855901653
38,41,0.5255719397221944
38,44,0.409995604392896
38,60,0.42702733562548273
38,66,0.4026685170717942
38,74,0.4598805200221811
38,82,0.3591714737180849
38,88,0.4652406133551393
38,89,0.490301276615882
38,110,0.5101022364380032
38,117,0.502666718718238
38,119,0.49930261330459524
38,120,0.3971264515677865
38,121,0.4110383386643154
38,122,0.49893840467320416
38,124,0.5076383527320227
38,125,0.4845290460391142
38,132,0.4123319101980889
38,140,0.4985504605890025
38,148,0.3569320660878252
38,149,0.3038968845133036
38,155,0.4948363388311772
38,169,0.4877243635533738
38,194,0.3902454832934433
38,217,0.47234754435274684
38,219,0.426722582037709
38,242,0.45285337260856035
38,247,0.5082832790559219
38,270,0.3620853383355254
39,9,0.43674129160438724
39,16,0.43702615331821193
39,23,0.432999974030115
39,26,0.4061988102421312
39,68,0.44271005838972466
39,77,0.22356945883039903
39,78,0.21747527427469085
39,85,0.4354195011623637
39,99,0.438137402739347
39,106,0.35280836656659975
39,126,0.35782833437664946
39,160,0.42935864941474666
39,166,0.43756799424914283
39,170,0.3046408267509155
39,171,0.3438728040410023
39,193,0.4285410698420173
39,230,0.36780315710657274
39,246,0.35814663146735265
39,256,0.36788482527990346
39,269,0.3579476416395399
39,274,0.27915722330352716
39,284,0.44684023069513873
39,285,0.2801962518637404
39,287,0.36846383565240004
40,14,0.6992599512396994
40,33,0.7176125321844674
40,37,0.7095022105684452
40,50,0.6905782554314083
40,63,0.806883393540964
40,147,0.750717513893228
40,151,0.8010508844675485
40,152,0.7964355070613361
40,172,0.8125519740421092
40,199,0.7850504695907331
40,209,0.6655441855008429
40,211,0.7402209156459147
40,218,0.6472787641728653
40,253,0.7651674637896475
41,35,0.5399313496173814
41,38,0.5255719397221944
41,44,0.4016595235811928
41,60,0.41843101086459583
41,74,0.46834544087484975
41,89,0.49487584026306136
41,90,0.5133189491004159
41,96,0.5300378252705734
41,100,0.47251214608134406
41,115,0.42635687239487446
41,117,0.5260730763551996
41,118,0.4672763208011767
41,120,0.39286830437120224
41,121,0.40922775328773286
41,124,0.5472663175119064
41,125,0.5265240634184953
41,127,0.48613948887888825
41,132,0.4024187883120004
41,133,0.3679899047094547
41,166,0.5322639408118889
41,169,0.5239803372374314
41,183,0.3793486100751383
41,194,0.39706315504160916
41,196,0.36705069670273893
41,205,0.4643550003924522
41,219,0.425437017226913
41,222,0.44770674242985664
41,247,0.5479964973787448
41,255,0.4004113276207577
41,296,0.5187010760899903
42,13,0.6264440840067774
42,14,0.6379044960070509
42,16,0.5538736333775658
42,27,0.6423858303224879
42,29,0.5294913423890328
42,32,0.6444795348231537
42,33,0.645565066409834
42,48,0.5352293642425898
42,53,0.49300149019302536
42,98,0.5331435461052181
42,102,0.6331525498062136
42,116,0.5997801095287244
42,117,0.5865231732767515
42,119,0.5700007343863983
42,122,0.49549658313118117
42,123,0.4950566972908696
42,124,0.5601161462639105
42,147,0.6361851845390682
42,159,0.5610057604234469
42,160,0.6425795471114301
42,173,0.6505442678429724
42,178,0.5112538322363884
42,191,0.5421217025052667
42,198,0.6159030606200179
42,203,0.5713687744902781
42,207,0.5261983541893894
42,211,0.634470625592721
42,235,0.5233077406500085
42,245,0.5368886798041508
42,250,0.6423756444950345
42,258,0.5884441458129198
42,261,0.4888640133876717
42,277,0.5019331830026263
43,45,0.46303788359002196
43,55,0.3278337324441015
43,59,0.5019571410034644
43,90,0.49354989950033157
43,95,0.48725203175157844
43,109,0.4330625005493212
43,110,0.4898890404171396
43,157,0.48606276706255797
43,166,0.4989778898805262
43,180,0.48343826046149607
43,192,0.4438148563309909
43,200,0.4870744078488713
43,201,0.48290883938674367
43,223,0.46325114538698664
43,247,0.4830778754226972
43,255,0.39569772090779665
44,35,0.40473120053263034
44,38,0.409995604392896
44,41,0.4016595235811928
44,88,0.38069990393361636
44,114,0.3832529306737322
44,125,0.38932341396936315
44,127,0.37800821167419435
44,136,0.166352078104328
44,140,0.3870005431646896
44,149,0.3353872523075812
44,219,0.383180204525229
44,247,0.3765946314273294
45,16,0.46066257781829223
45,29,0.5021485076763068
45,43,0.46303788359002196
45,85,0.47575650198154573
45,98,0.4687247522825649
45,103,0.4763836790382166
45,110,0.48225001081093527
45,190,0.46178960034142086
45,208,0.4869118616441428
45,213,0.38002389028939804
45,251,0.4601504719581467
46,14,0.6550209050874378
46,23,0.5519338452024866
46,27,0.6442137700788009
46,28,0.6429979163871387
46,32,0.6441114853013169
46,47,0.5552295249563498
46,48,0.5357224371629586
46,50,0.6691673115036834
46,54,0.675517892862816
46,70,0.5499749138364453
46,71,0.5828105979147644
